UIDClient,UIDStoreLocation,Gender,DateJoined,DaysSinceJoined,MembershipType,MembershipLevel,Age,UVTans,SunlessTans,UpgradeRevenue,RetailRevenue
597,1,0,3/13/10,1694,2,0,38,189,4,56,76.01
17873,1,0,10/3/09,1855,2,0,48,0,26,25,171.32
26441,1,0,3/18/07,2785,2,1,76,265,58,15,190.23
31132,1,0,3/18/07,2785,2,0,40,327,18,0,399.58
31382,1,0,4/24/12,921,2,0,20,90,0,8,66.99
44204,1,0,6/22/07,2689,2,0,20,162,17,0,323.16
50652,1,0,5/25/08,2351,2,0,52,2,1,0,9.54
81049,1,0,3/19/09,2053,2,4,40,34,2,0,242.84
98231,1,0,6/24/10,1591,2,0,63,11,0,0,59.45
9020,2,0,8/29/11,1160,2,1,21,306,0,0,200.66
10081,2,0,2/11/04,3916,2,0,28,40,0,26,116.35
18228,2,0,2/9/06,3187,2,1,39,232,4,24,36.14
24371,2,0,12/5/06,2888,2,3,25,32,0,0,50.28
24572,2,0,12/24/02,4330,2,0,58,138,5,0,360.36
35256,2,0,5/22/12,893,2,0,57,33,0,0,40.19
35502,2,0,4/2/10,1674,2,0,58,61,12,0,101.38
37885,2,1,2/25/11,1345,2,0,36,28,0,0,126.05
42185,2,0,4/8/12,937,2,4,48,58,1,0,204.02
42865,2,0,4/21/03,4212,2,0,33,74,1,0,443.62
45289,2,0,2/25/02,4632,2,1,35,35,62,0,223.9
47989,2,0,12/26/09,1771,2,0,33,5,34,0,75.29
48885,2,0,4/14/04,3853,2,4,26,172,86,11,333.48
57198,2,0,5/18/11,1263,2,0,53,114,0,0,1319.55
62280,2,0,3/5/12,971,2,3,25,62,0,0,95.35
71555,2,1,2/11/09,2089,2,0,22,63,10,0,167.38
73192,2,1,4/6/12,939,2,0,19,64,0,0,48.89
81452,2,1,5/29/10,1617,2,0,55,12,28,0,153.08
83530,2,0,7/6/05,3405,2,0,24,31,4,0,168.98
86046,2,0,4/27/05,3475,2,0,23,85,29,0,39
91156,2,0,7/17/04,3759,2,4,61,211,0,0,379.64
98368,2,0,3/28/02,4601,2,1,65,105,1,56,270.66
100635,2,0,9/29/04,3685,2,4,32,79,26,30,597.74
1634,3,0,11/18/04,3635,2,2,23,57,0,0,163.82
1667,3,1,4/22/06,3115,2,1,57,21,0,0,50.89
7430,3,0,7/29/09,1921,2,3,47,45,0,0,226.74
8738,3,0,2/15/11,1355,2,1,35,122,0,65,271.92
15807,3,1,11/25/01,4724,2,0,68,282,2,8,186.54
22043,3,0,7/3/04,3773,2,1,59,10,2,5,37
26875,3,0,6/19/09,1961,2,1,55,10,1,20,119.28
28072,3,0,5/28/11,1253,2,1,51,40,0,55,302.16
32300,3,0,5/5/05,3467,2,2,56,107,0,182,212.15
36997,3,0,6/15/01,4887,2,0,53,36,3,0,0.88
38225,3,0,6/12/04,3794,2,1,35,188,0,21,402.27
39534,3,0,2/13/06,3183,2,4,44,157,0,52,112.47
40266,3,0,3/24/08,2413,2,1,27,149,7,215,273.64
41785,3,0,3/22/07,2781,2,1,56,111,6,53,152.97
43160,3,0,8/22/05,3358,2,0,36,14,0,0,70.94
44992,3,0,2/21/04,3906,2,3,63,56,0,18,71.71
45996,3,0,10/21/05,3298,2,1,47,116,0,10,175.84
49125,3,0,11/19/04,3634,2,1,38,93,0,35,132
55116,3,0,6/15/01,4887,2,1,56,12,12,48,74.43
58142,3,0,3/19/07,2784,2,4,53,55,2,5,358.23
62310,3,1,2/6/11,1364,2,1,51,99,0,0,30.38
62875,3,0,2/8/08,2458,2,0,53,17,0,0,22.53
64470,3,0,10/3/09,1855,2,0,32,16,0,32,90.19
67368,3,1,9/10/05,3339,2,1,55,184,0,0,588.19
69397,3,0,7/3/03,4139,2,1,67,84,0,4,236.45
70491,3,1,2/9/03,4283,2,1,74,63,0,0,0
71615,3,0,8/11/04,3734,2,0,46,198,3,8,179.28
76071,3,1,6/15/11,1235,2,0,52,42,40,0,169.3
78711,3,0,6/24/06,3052,2,1,52,105,0,38,70.46
82042,3,1,3/3/11,1339,2,1,21,117,1,34,208.68
82364,3,0,3/21/03,4243,2,0,33,18,6,62,117.19
83553,3,0,4/8/06,3129,2,0,48,115,83,0,341.9
84856,3,0,6/12/07,2699,2,1,45,72,32,12,250.93
93390,3,0,3/24/08,2413,2,1,20,142,1,23,19.69
94427,3,0,6/12/04,3794,2,0,61,79,0,5,258.33
97051,3,0,3/28/04,3870,2,1,27,26,11,22,83.43
98118,3,0,2/14/10,1721,2,4,56,13,0,0,4.79
100194,3,1,12/29/01,4690,2,2,35,55,0,1,155.95
101652,3,0,5/17/12,898,2,0,30,17,0,0,0
101941,3,0,12/22/02,4332,2,0,53,28,0,0,30.57
102248,3,0,4/6/03,4227,2,1,44,67,0,1,375.41
102909,3,0,5/23/05,3449,2,3,30,179,5,0,589.08
1165,4,1,5/14/11,1267,2,0,47,37,0,10,155.25
5783,4,0,3/15/10,1692,2,0,33,66,21,0,111.11
6715,4,0,2/29/12,976,2,4,34,24,50,0,7.34
8722,4,0,2/3/00,5385,2,2,53,39,0,8,6.32
10175,4,0,2/15/09,2085,2,1,42,30,16,8,17.67
13615,4,0,2/15/10,1720,2,4,45,18,104,8,706.72
13858,4,0,10/19/07,2570,2,2,41,64,1,15,802
15892,4,1,4/29/06,3108,2,0,42,16,1,0,11.85
16545,4,0,4/10/10,1666,2,0,55,0,29,0,59.17
16737,4,1,4/6/11,1305,2,4,36,50,40,0,64.1
27828,4,0,4/2/12,943,2,0,33,63,17,65,137.87
29028,4,0,3/18/11,1324,2,4,59,38,0,0,316.29
37018,4,0,11/16/10,1446,2,4,38,49,1,22,80.37
42807,4,1,2/25/08,2441,2,2,53,29,0,0,102.7
45416,4,0,2/8/12,997,2,1,24,75,0,16,31.67
47554,4,0,10/20/10,1473,2,4,41,39,5,10,102.45
49750,4,0,5/31/10,1615,2,1,54,86,1,72,287.77
58574,4,0,3/21/11,1321,2,2,41,49,0,0,93.93
59560,4,0,3/9/12,967,2,2,37,17,5,0,234.01
72422,4,1,4/4/12,941,2,0,45,48,57,20,12.3
75095,4,0,8/25/10,1529,2,1,65,22,1,58,19.96
75613,4,0,4/13/09,2028,2,1,42,61,31,100,273.07
75657,4,0,6/7/11,1243,2,2,19,91,19,110,311.16
81315,4,0,3/17/12,959,2,0,15,19,2,32,59.59
87460,4,0,4/28/08,2378,2,2,48,52,0,0,130.53
89694,4,1,9/26/99,5515,2,2,60,144,0,18,6.13
104166,4,0,4/7/11,1304,2,0,43,33,1,52,75.62
104576,4,0,8/14/10,1540,2,3,52,52,0,0,307.18
2597,5,0,2/12/07,2819,2,1,68,164,2,152,84.93
5859,5,1,7/27/09,1923,2,0,44,8,0,0,3.41
10131,5,1,4/15/09,2026,2,1,60,47,2,138,54.07
12807,5,0,6/1/05,3440,2,1,38,73,4,0,144.62
13447,5,0,8/4/10,1550,2,4,51,0,19,0,54.98
13539,5,1,3/11/08,2426,2,4,28,39,30,0,127.98
15280,5,0,2/25/06,3171,2,4,36,1,94,5,103.47
15964,5,0,5/31/12,884,2,0,27,46,0,0,22.09
19941,5,1,5/8/06,3099,2,1,51,11,0,10,56.89
21238,5,0,6/1/11,1249,2,1,48,41,7,1,49.12
23647,5,0,7/1/08,2314,2,2,32,66,5,8,18.81
29992,5,0,1/21/08,2476,2,4,34,80,11,42,257.18
35711,5,1,12/16/06,2877,2,0,56,34,0,8,31.15
36646,5,0,5/1/07,2741,2,0,67,189,0,6,5.62
37019,5,0,3/26/05,3507,2,1,40,94,2,3,99.99
41811,5,0,12/12/07,2516,2,0,33,15,42,5,306.61
50219,5,0,3/10/05,3523,2,1,57,84,0,282,276.8
55606,5,0,4/21/05,3481,2,4,29,0,174,0,0.47
58520,5,1,6/28/05,3413,2,1,41,43,2,30,62.81
60973,5,0,8/22/06,2993,2,1,51,131,4,21,6.45
61574,5,1,6/20/05,3421,2,1,56,127,0,0,0
63410,5,0,2/3/07,2828,2,0,24,58,6,39,111.82
64573,5,0,5/20/08,2356,2,0,32,29,0,5,205.97
65030,5,1,7/9/10,1576,2,0,56,454,1,184,38.02
72214,5,0,3/12/07,2791,2,1,44,167,0,5,101.37
75639,5,0,1/18/08,2479,2,1,70,107,11,98,28.64
79125,5,0,5/20/09,1991,2,0,46,10,0,28,11.76
86649,5,0,6/16/11,1234,2,1,32,156,14,55,228.72
86817,5,0,11/9/07,2549,2,4,45,92,7,8,230.22
89347,5,0,3/17/09,2055,2,4,48,10,153,0,721.96
93074,5,0,6/3/07,2708,2,1,25,97,4,102,247.18
97070,5,1,1/31/05,3561,2,1,26,23,0,0,1.57
1600,6,0,6/17/09,1963,2,0,38,11,6,0,42.19
18386,6,0,10/31/11,1097,2,4,53,83,1,12,85.98
20945,6,0,7/29/11,1191,2,1,37,105,0,64,71.56
27710,6,1,10/7/09,1851,2,3,32,107,0,0,20.94
32507,6,0,2/20/12,985,2,1,27,91,0,0,109.91
33549,6,0,4/7/11,1304,2,0,62,22,1,0,188.75
36312,6,0,3/23/12,953,2,0,40,50,2,1,258.55
50817,6,0,3/18/09,2054,2,0,41,3,9,0,31.67
57832,6,0,5/1/09,2010,2,4,56,34,13,55,191.75
64903,6,0,4/22/10,1654,2,3,47,210,6,55,760.17
67087,6,0,2/24/12,981,2,1,40,39,0,80,167.52
71426,6,0,6/2/11,1248,2,4,53,49,5,0,291.79
76728,6,0,2/13/09,2087,2,0,47,58,7,0,740.11
84157,6,0,3/12/10,1695,2,1,38,124,1,15,312.85
99819,6,0,3/7/09,2065,2,0,38,162,18,0,272.48
102782,6,0,4/16/12,929,2,0,43,44,0,0,147.68
15281,8,0,9/24/11,1134,2,4,34,59,72,35,40.07
25226,8,0,9/21/09,1867,2,0,58,0,9,0,23.28
29088,8,0,9/15/10,1508,2,1,22,83,9,8,80.42
33408,8,0,4/19/09,2022,2,4,42,70,0,8,132.91
37526,8,0,10/25/06,2929,2,4,25,63,60,0,202.04
39348,8,0,5/9/11,1272,2,0,47,169,0,0,49.65
44596,8,0,2/18/10,1717,2,2,26,9,0,0,146.71
46053,8,0,12/10/09,1787,2,4,32,8,24,45,53.29
48228,8,0,4/24/08,2382,2,4,52,7,123,0,158.91
48392,8,0,4/22/11,1289,2,0,24,23,0,0,94.29
53782,8,0,11/1/09,1826,2,4,25,100,77,78,170.36
55468,8,0,1/21/07,2841,2,0,24,246,69,0,1477.17
57191,8,0,8/6/10,1548,2,0,32,34,10,0,185.99
60274,8,0,3/23/11,1319,2,4,66,0,71,0,632.07
64117,8,0,5/27/11,1254,2,0,30,11,0,10,8.49
65224,8,0,6/17/09,1963,2,4,18,35,3,5,378.82
69323,8,1,12/31/10,1401,2,4,47,69,0,0,58.15
70148,8,0,12/4/06,2889,2,1,39,96,35,8,52.46
72282,8,0,3/27/08,2410,2,1,36,78,22,40,123.98
76483,8,0,12/16/09,1781,2,3,72,31,0,0,39.99
84910,8,0,9/30/09,1858,2,4,27,0,72,35,319.66
86600,8,0,7/1/11,1219,2,1,65,157,0,62,404.94
93525,8,0,7/15/03,4127,2,4,33,9,47,0,14.07
101980,8,0,2/9/08,2457,2,2,25,174,2,5,78.51
1645,9,1,6/11/11,1239,2,3,49,139,17,38,1268.76
9669,9,0,2/16/12,989,2,0,35,56,55,0,294.13
27951,9,0,10/6/09,1852,2,1,44,50,0,23,17.67
31533,9,0,1/16/12,1020,2,0,23,12,0,20,61.1
32831,9,0,7/14/10,1571,2,4,36,148,131,15,440.02
35747,9,0,6/26/11,1224,2,2,38,120,0,5,250.28
47212,9,1,7/28/10,1557,2,4,52,168,0,0,592.91
54209,9,0,2/27/12,978,2,2,47,29,0,45,30.58
67749,9,0,4/15/10,1661,2,2,36,19,3,52,125.56
91422,9,0,5/23/12,892,2,0,36,7,0,10,200.78
97057,9,0,4/29/12,916,2,0,33,36,2,0,97.34
98653,9,0,4/9/09,2032,2,0,29,14,14,0,43.16
98966,9,0,12/3/09,1794,2,0,32,16,2,28,72.49
3206,10,0,8/25/11,1164,2,4,36,40,5,5,147.02
14176,10,0,12/13/11,1054,2,1,30,104,0,200,36.91
18636,10,0,10/2/11,1126,2,0,37,49,9,78,129.15
19538,10,0,10/10/11,1118,2,4,45,25,23,0,189.41
24227,10,0,4/18/11,1293,2,3,50,50,3,0,314.04
29447,10,0,1/26/11,1375,2,2,65,87,0,25,97.9
43130,10,0,3/31/12,945,2,0,50,31,4,52,113.64
49241,10,0,4/16/10,1660,2,2,51,95,0,45,163.03
58689,10,0,7/30/10,1555,2,3,46,179,12,47,54.58
60953,10,0,4/18/11,1293,2,0,43,12,0,5,63.96
61044,10,1,5/8/10,1638,2,4,48,212,0,15,420.62
62766,10,1,4/12/12,933,2,0,33,10,0,0,89.2
64307,10,0,10/15/11,1113,2,0,47,36,64,15,81.94
65456,10,0,6/9/10,1606,2,3,52,47,0,18,253.92
83814,10,0,7/6/11,1214,2,4,48,19,9,0,258.78
85979,10,0,4/9/11,1302,2,0,21,58,10,10,292.84
88038,10,0,4/30/12,915,2,0,28,9,3,40,111.65
89534,10,0,3/4/12,972,2,1,61,74,0,85,125.31
90677,10,0,5/4/10,1642,2,4,29,195,31,0,971.15
105867,10,0,10/11/10,1482,2,1,32,54,1,50,149.15
1,1,0,3/29/13,582,1,1,16,2,1,0,0
65,1,1,6/23/11,1227,1,3,37,10,0,0,45.58
204,1,0,5/16/11,1265,1,1,23,14,1,0,2.83
438,1,0,2/11/10,1724,1,2,22,94,8,48,299.88
908,1,0,3/23/13,588,1,1,45,23,0,2,39.99
1533,1,0,4/5/13,575,1,4,42,0,5,0,23.99
1556,1,0,4/6/12,939,1,1,33,11,0,0,66.99
1616,1,0,3/23/09,2049,1,4,39,0,16,15,0
1739,1,0,5/30/12,885,1,4,44,0,27,0,265.37
1786,1,0,2/25/11,1345,1,1,22,13,0,2,110.34
2062,1,0,3/26/11,1316,1,4,55,0,267,6,0
2824,1,0,4/5/11,1306,1,1,33,4,0,0,25.38
3128,1,0,4/12/10,1664,1,4,27,91,0,0,367.17
3221,1,0,3/9/11,1333,1,2,36,12,0,0,96.33
3307,1,0,4/12/11,1299,1,1,19,9,3,0,27.61
3471,1,0,8/14/09,1905,1,4,23,119,14,5,341.07
3586,1,1,3/14/08,2423,1,2,48,91,0,0,178.27
4036,1,0,4/24/11,1287,1,1,20,31,0,14,55.06
4037,1,0,7/11/12,843,1,2,32,12,0,0,51.71
4440,1,0,5/26/08,2350,1,1,21,90,7,28,139.95
4502,1,0,3/13/11,1329,1,1,25,18,5,0,24.37
4528,1,0,3/30/12,946,1,1,24,1,1,0,6.39
4867,1,0,4/10/07,2762,1,2,25,10,0,0,83.35
5195,1,0,2/12/12,993,1,2,43,46,0,8,91.53
5554,1,1,3/12/13,599,1,2,28,14,0,0,75.71
5892,1,0,3/12/13,599,1,1,48,15,3,0,76.26
6298,1,0,8/31/07,2619,1,1,29,20,0,0,0
6448,1,0,11/22/05,3266,1,1,41,18,13,0,286.2
6500,1,0,3/28/09,2044,1,1,28,43,0,0,13.52
6532,1,0,4/1/10,1675,1,4,57,0,7,0,76.16
6706,1,0,3/6/08,2431,1,4,49,44,6,8,173.73
6714,1,0,1/17/09,2114,1,2,19,131,0,5,275.53
7063,1,0,4/26/09,2015,1,1,23,27,18,10,209.07
7334,1,0,2/28/08,2438,1,1,36,2,1,0,11.53
7370,1,0,3/29/13,582,1,3,29,9,1,0,50.38
7649,1,0,5/28/11,1253,1,1,17,22,10,10,125.56
7899,1,0,4/25/12,920,1,1,33,13,1,0,160.03
8121,1,0,4/24/08,2382,1,3,45,22,2,8,117.86
8375,1,0,3/11/08,2426,1,1,45,9,3,8,132.95
8894,1,0,4/22/09,2019,1,1,27,26,4,5,0
8902,1,0,6/28/09,1952,1,1,44,41,1,81,61.97
10396,1,0,4/7/11,1304,1,1,18,29,0,0,6.46
10586,1,0,5/3/03,4200,1,4,43,35,2,0,101.68
11043,1,0,5/11/08,2365,1,4,29,0,12,40,0
11354,1,0,2/11/10,1724,1,2,23,48,6,0,84.19
11485,1,0,3/26/07,2777,1,2,51,230,1,10,331.62
12048,1,0,5/16/12,899,1,4,21,29,14,0,147.08
12384,1,0,6/18/10,1597,1,1,42,133,4,19,20.39
12566,1,0,3/1/13,610,1,1,18,5,2,20,15.38
13532,1,1,1/7/09,2124,1,1,19,11,2,25,0
13554,1,0,5/7/07,2735,1,1,34,27,0,48,0.47
13804,1,0,3/10/07,2793,1,2,30,84,3,15,213.29
13868,1,0,7/19/12,835,1,1,22,10,1,0,39.78
14128,1,0,3/21/08,2416,1,2,19,12,0,0,60.38
14364,1,0,7/25/12,829,1,1,19,17,2,8,41.2
14640,1,0,2/3/08,2463,1,2,22,26,0,0,5.38
14855,1,0,3/13/12,963,1,1,19,24,0,0,2.39
15077,1,0,2/10/11,1360,1,2,45,42,3,30,190.21
15209,1,0,3/15/11,1327,1,4,32,0,6,0,0
15690,1,0,3/21/12,955,1,1,25,12,0,0,4.79
15692,1,0,3/20/12,956,1,4,17,3,38,15,50.46
15962,1,0,1/8/09,2123,1,1,29,109,2,1,70
16187,1,0,3/13/12,963,1,1,62,53,0,0,0
16260,1,0,3/18/12,958,1,1,15,10,0,0,35.81
16550,1,0,3/13/11,1329,1,1,24,131,3,237,218.68
16703,1,1,12/28/11,1039,1,2,31,19,0,5,2.39
17369,1,0,2/5/10,1730,1,2,26,66,0,128,188.76
17399,1,1,3/27/11,1315,1,1,17,18,0,0,4.79
17536,1,0,6/8/07,2703,1,1,20,16,0,0,45.58
18128,1,0,3/31/12,945,1,4,59,0,10,0,27.99
18133,1,0,4/26/11,1285,1,3,27,84,2,15,139.17
18360,1,1,12/29/10,1403,1,3,69,9,1,0,2.99
18760,1,0,11/28/12,703,1,2,26,9,0,8,37.97
18945,1,1,7/29/03,4113,1,3,50,34,0,0,47.69
19155,1,0,5/24/11,1257,1,1,23,35,2,22,110.78
19272,1,0,2/12/12,993,1,1,25,24,0,2,0
19278,1,0,4/20/09,2021,1,1,55,26,0,0,20.96
19577,1,0,5/1/12,914,1,1,17,13,0,0,32.77
20141,1,0,2/10/10,1725,1,1,22,158,0,16,166.77
20403,1,0,2/26/10,1709,1,1,22,19,1,0,5.59
20454,1,0,12/4/10,1428,1,2,23,9,8,110,6.49
20681,1,0,3/17/12,959,1,4,28,0,28,0,68.97
20977,1,0,9/25/12,767,1,1,19,53,5,11,125.45
21025,1,0,3/26/11,1316,1,1,38,27,2,12,33.35
21065,1,0,9/23/12,769,1,2,49,8,1,2,53.22
21095,1,1,10/5/11,1123,1,1,20,50,0,36,72.64
21142,1,0,3/10/08,2427,1,1,29,101,2,73,21.13
21309,1,0,3/3/12,973,1,1,16,52,0,48,43.18
21336,1,0,2/27/07,2804,1,1,37,10,2,0,33.99
22252,1,0,5/29/06,3078,1,1,25,29,4,0,367.36
22577,1,0,11/23/12,708,1,1,32,39,2,0,129.63
23296,1,0,6/28/11,1222,1,3,36,56,0,30,161.35
23395,1,0,2/25/07,2806,1,3,37,72,2,8,1034.32
23469,1,1,3/22/13,589,1,1,22,21,1,5,26.2
23591,1,0,3/24/11,1318,1,1,30,10,1,2,23.83
23704,1,1,5/1/12,914,1,1,19,5,0,0,2.39
23865,1,1,8/5/08,2279,1,4,57,29,13,2,86.96
23960,1,0,3/2/05,3531,1,2,26,12,3,0,86.88
24113,1,1,3/21/07,2782,1,3,35,24,0,8,61.57
24210,1,0,1/5/11,1396,1,2,26,15,1,5,2.86
24508,1,0,9/30/07,2589,1,1,56,66,0,0,47.49
24522,1,0,10/14/11,1114,1,4,20,1,4,0,24.28
24543,1,0,4/11/10,1665,1,2,56,57,0,65,194.97
24749,1,0,1/5/13,665,1,2,53,17,0,0,17.91
25028,1,0,6/8/11,1242,1,3,63,8,0,0,68.17
25192,1,0,4/10/07,2762,1,2,26,79,2,12,309.11
25245,1,0,5/1/09,2010,1,4,42,47,14,35,77.77
25564,1,0,2/23/11,1347,1,2,32,54,0,11,95.85
25821,1,0,2/15/13,624,1,3,32,36,0,8,15.78
26401,1,0,3/13/07,2790,1,2,24,78,0,22,167.6
26727,1,0,3/16/12,960,1,2,17,7,0,0,2.99
26796,1,1,3/19/07,2784,1,1,28,83,1,135,59.51
27347,1,0,2/20/07,2811,1,1,28,3,1,0,0.94
27361,1,1,12/7/09,1790,1,2,18,6,0,0,6.14
27486,1,0,3/31/08,2406,1,3,55,21,0,0,150.99
27508,1,0,3/20/11,1322,1,1,18,119,3,82,89.35
27814,1,0,3/9/12,967,1,1,17,38,1,0,6.16
28779,1,1,1/27/12,1009,1,3,32,118,6,26,141.6
28981,1,0,3/15/12,961,1,1,21,8,3,10,9.58
29640,1,0,5/19/11,1262,1,4,51,4,0,0,34.48
29790,1,0,6/19/08,2326,1,3,21,9,2,8,80.97
30519,1,0,4/1/07,2771,1,1,23,25,0,8,95.35
30689,1,0,6/9/11,1241,1,1,41,5,9,0,58.34
30710,1,0,3/17/11,1325,1,1,37,25,1,0,18.47
30728,1,0,6/2/07,2709,1,3,33,41,0,0,76.88
30970,1,0,1/15/12,1021,1,3,34,24,3,0,63.66
31339,1,0,5/6/12,909,1,4,44,0,7,0,102.61
31578,1,0,10/7/09,1851,1,2,44,31,2,0,10
31614,1,1,9/29/12,763,1,1,33,69,0,15,75.76
32028,1,0,6/16/09,1964,1,1,58,58,0,15,46.66
32358,1,0,7/12/08,2303,1,3,28,25,0,0,0
32672,1,0,1/3/13,667,1,4,33,9,3,0,63.57
33110,1,1,7/23/11,1197,1,3,27,64,0,0,132.64
33144,1,0,4/15/10,1661,1,3,38,70,0,0,122.38
33309,1,1,5/8/07,2734,1,1,26,22,0,5,9.38
33771,1,1,8/16/08,2268,1,1,31,50,0,3,6.99
33833,1,0,8/18/11,1171,1,2,25,110,4,8,360.93
34035,1,0,6/12/07,2699,1,4,24,27,46,30,187.34
34272,1,0,3/24/07,2779,1,3,56,42,0,5,143.05
34395,1,1,5/21/11,1260,1,1,52,7,0,0,10.39
34443,1,0,7/8/08,2307,1,4,61,5,10,1,49.08
34581,1,0,8/23/08,2261,1,1,38,5,1,0,26.38
34607,1,0,5/14/07,2728,1,1,29,71,4,22,24.96
34713,1,0,4/23/11,1288,1,1,21,34,2,0,15.51
35251,1,0,9/26/06,2958,1,2,57,18,0,0,120.92
35428,1,0,5/18/10,1628,1,4,22,111,35,0,26.15
35840,1,0,11/20/05,3268,1,1,26,46,0,0,57.98
36060,1,0,,41944,1,1,28,9,0,0,0.49
36089,1,0,2/8/07,2823,1,1,28,15,1,12,143.07
36287,1,1,4/27/07,2745,1,1,52,86,3,0,8.49
36429,1,0,5/15/11,1266,1,2,18,14,2,0,61.87
36790,1,0,2/7/11,1363,1,1,31,13,0,0,46.46
36913,1,0,4/2/13,578,1,1,28,10,0,2,96.36
37295,1,0,7/8/12,846,1,1,18,23,0,0,26.38
37326,1,0,5/3/10,1643,1,2,27,17,1,5,28.07
37726,1,0,4/4/12,941,1,4,19,13,4,8,153.51
37739,1,0,9/14/11,1144,1,1,38,80,7,123,71.38
37756,1,0,4/7/09,2034,1,2,23,11,7,20,95.71
38187,1,0,2/28/12,977,1,2,48,17,0,5,24.98
38319,1,0,3/23/07,2780,1,1,60,5,1,2,76.43
38719,1,0,9/14/11,1144,1,2,31,31,0,5,71.71
39019,1,0,6/13/08,2332,1,1,34,10,0,0,8.58
39638,1, ,9/17/09,1871,1,2,28,10,6,0,75.76
39651,1,0,3/3/10,1704,1,4,43,8,0,0,61.48
39739,1,0,2/25/09,2075,1,2,54,12,2,0,0
39853,1,0,12/23/11,1044,1,2,16,22,0,0,82.81
39997,1,0,6/11/08,2334,1,2,32,36,6,0,132.6
40124,1,0,5/17/11,1264,1,1,56,19,7,76,123.42
40258,1,1,6/21/11,1229,1,1,27,41,0,15,49.77
40522,1,0,4/17/11,1294,1,4,38,3,11,35,139.77
40733,1,0,5/16/12,899,1,4,41,0,13,0,60.25
40882,1,1,4/29/07,2743,1,1,41,18,0,20,119.97
41264,1,0,4/13/11,1298,1,1,18,26,1,8,71.99
41473,1,0,1/8/11,1393,1,3,31,161,4,6,53.87
41626,1,0,12/31/09,1766,1,4,27,219,134,144,454.38
41799,1,0,4/30/13,550,1,4,54,0,2,0,23.99
42341,1,0,2/20/12,985,1,2,56,48,1,20,71.85
42347,1,0,12/30/11,1037,1,2,19,155,14,52,174
42459,1,1,2/15/11,1355,1,1,26,11,0,0,4.79
42823,1,0,4/29/13,551,1,1,18,7,0,15,6.99
43071,1,0,6/28/02,4509,1,2,53,0,23,0,74.92
43540,1,0,10/8/09,1850,1,3,20,24,2,0,231.23
43972,1,0,4/26/08,2380,1,4,20,20,0,0,0.47
44329,1,0,3/2/11,1340,1,3,22,29,0,0,42.77
44527,1,1,2/18/10,1717,1,3,57,120,4,9,3.4
45429,1,0,3/25/13,586,1,2,56,10,2,15,7.43
45578,1,0,3/26/10,1681,1,2,21,22,0,8,70.54
45588,1,0,9/1/12,791,1,1,16,31,0,4,9.14
45721,1,0,5/11/07,2731,1,1,25,5,0,0,55.52
46150,1,0,12/31/07,2497,1,1,54,7,0,0,34.99
46888,1,0,3/22/12,954,1,1,65,52,0,75,0
47027,1,0,3/31/09,2041,1,1,41,40,1,35,2.99
48066,1,0,10/1/09,1857,1,1,28,10,17,170,13.67
48154,1,0,5/21/11,1260,1,4,29,0,8,0,25.87
48309,1,0,3/5/12,971,1,1,51,16,0,0,2.39
48760,1,0,3/28/07,2775,1,1,47,28,0,1,0
49242,1,0,3/26/08,2411,1,4,28,82,1,0,173.24
49257,1,1,1/31/11,1370,1,1,23,50,0,20,172.82
49406,1,0,6/1/07,2710,1,4,48,8,15,0,31.57
49657,1,0,5/1/08,2375,1,2,26,75,6,42,182.66
49705,1,0,1/18/09,2113,1,3,36,26,0,0,114.87
49839,1,0,3/11/07,2792,1,4,46,21,0,0,0
50048,1,0,8/2/09,1917,1,1,57,16,0,12,102.85
50411,1,0,2/19/05,3542,1,4,34,52,17,45,28.85
50428,1,0,2/5/11,1365,1,1,35,10,1,0,7.37
51277,1,0,1/3/10,1763,1,3,31,27,2,0,131.95
51287,1,0,4/26/12,919,1,4,35,1,4,8,33.45
51373,1,0,11/7/11,1090,1,2,21,45,14,35,487.9
51469,1,1,3/21/07,2782,1,1,23,60,0,8,203.5
51811,1,0,8/20/11,1169,1,2,20,31,0,22,51.53
51817,1,0,12/8/12,693,1,1,19,11,1,0,0
52540,1,0,9/9/07,2610,1,1,23,79,0,10,88.44
52762,1,1,6/30/12,854,1,1,45,55,0,0,32.15
52990,1,0,2/26/07,2805,1,2,48,38,0,0,0
53255,1,0,5/12/08,2364,1,4,41,1,1,0,28.43
53341,1,0,11/17/11,1080,1,4,32,22,19,10,291.17
53627,1,0,4/25/07,2747,1,1,20,94,1,0,181.76
53639,1,0,4/3/07,2769,1,4,60,32,0,0,182.07
53853,1,0,5/7/07,2735,1,2,24,148,34,12,107.51
53945,1,1,5/23/10,1623,1,4,71,6,41,0,0
54058,1,0,3/11/07,2792,1,3,40,80,0,15,184.75
54118,1,0,11/2/12,729,1,1,28,33,0,0,43.32
54168,1,0,4/23/01,4940,1,1,54,47,12,45,173.94
54760,1,0,6/5/09,1975,1,1,47,58,0,71,145.41
55064,1,0,3/2/11,1340,1,3,22,41,1,12,28.27
55381,1,0,5/31/11,1250,1,4,61,0,2,0,100.37
55453,1,0,3/18/12,958,1,1,18,40,0,0,50.38
55479,1,0,4/29/11,1282,1,1,21,3,2,0,78.25
55545,1,0,3/30/12,946,1,1,59,66,0,10,235.21
55725,1,0,5/20/07,2722,1,3,52,8,2,15,19.99
55916,1,1,3/21/07,2782,1,1,41,11,0,0,3.39
56094,1,1,1/20/12,1016,1,1,17,12,1,0,52.17
